client_id,district_id,address_1,address_2,city,state,zipcode
C00000192,70,7922 Lookout Street,,Los Angeles,CA,41454
C00000193,1,728 Oxford Drive,,New York City,NY,10008
C00000194,28,7360 Strawberry Ave.,,Anchorage,AK,45971
C00000195,74,7976 Indian Spring Lane,,Chicago,IL,45564
C00000196,74,895 Pierce Dr.,,Chicago,IL,43011
C00000197,30,2 Iroquois St.,,Boise,ID,48221
C00000198,60,6 Hudson Rd.,,Lynn,MA,1903
C00000199,29,545 Washington St.,,Newark,NJ,49116
C00000200,29,6 Longbranch St.,,Newark,NJ,44967
C00000201,17,96 S. Poplar Drive,,Milwaukee,WI,40135
C00000202,29,2 Sugar Road,,Newark,NJ,46620
C00000203,31,671 Bishop Avenue,,Des Moines,IA,42236
C00000204,31,5 Harvey Dr.,,Des Moines,IA,41625
C00000205,4,9218 Cherry Hill Dr.,,Charlotte,NC,40806
C00000206,59,7585 Rockland Avenue,,Quincy,MA,2169
C00000207,46,7962 Glenridge Dr.,,San Diego,CA,46247
C00000208,13,314 Manchester Ave.,,Oklahoma City,OK,45915
C00000209,13,8098 Bohemia Rd.,,Oklahoma City,OK,41431
C00000210,66,8501 Greenview Drive,,Warwick,RI,43197
C00000211,66,10 Kent Street,,Warwick,RI,45687
C00000212,52,24 East Shadow Brook St.,Unit 1A,New Haven,CT,48051
C00000215,71,8551 Oak Valley Court,,Somerville,MA,2145
C00000216,1,958 Summerhouse Street,,New York City,NY,10041
C00000217,59,99 North Birch Hill St.,,Quincy,MA,2170
C00000218,1,107 Sherwood Drive,,New York City,NY,10104
C00000219,60,8832 Big Rock Cove Dr.,,Lynn,MA,1904
C00000221,21,7687 North Brookside Avenue,,Omaha,NE,47272
C00000222,47,9464 William St.,,Charleston,WV,48090
C00000223,43,997 St Margarets Rd.,,Wilmington,DE,40306
C00000224,77,79 E. Cross St.,,Syracuse,NY,13203
C00000225,32,61 Elizabeth St.,,Birmingham,AL,40105
C00000226,1,740 Valley Ave.,,New York City,NY,10168
C00000227,52,8101 Edgemont Ave.,,New Haven,CT,47159
C00000228,48,7475 Washington Dr.,,Worcester,MA,1601
C00000229,76,8854 NE. Penn St.,,Yonkers,NY,10707
C00000230,74,39 Brook St.,,Chicago,IL,48058
C00000231,41,50 Myers Ave.,Unit 8,Manchester,NH,49113
C00000232,55,7068 Temple Avenue,,Lowell,MA,1853
C00000233,69,69 N. Hickory Drive,,Lawrence,MA,1840
C00000234,69,7889 Blue Spring St.,,Lawrence,MA,1841
C00000235,44,55 Birchpond St.,,Portland,ME,40340
C00000236,70,709 Talbot St.,,Los Angeles,CA,48149
C00000237,70,92 Creekside Ave.,,Los Angeles,CA,48459
C00000238,6,69 Lafayette Drive,,Seattle,WA,46512
C00000239,1,9610 Leeton Ridge St.,,New York City,NY,10129
C00000240,34,66 Union Drive,Unit 79,Little Rock,AR,47584
C00000241,70,8513 Young Street,,Los Angeles,CA,47964
C00000242,17,76 John Lane,,Milwaukee,WI,41606
C00000243,63,60 El Dorado Lane,,Norwalk,CT,48169
C00000246,67,7742 Baker Lane,,Danbury,CT,47651
C00000247,1,9701 Crescent Drive,,New York City,NY,10279
C00000248,61,7194 Ridgeview Drive,,Fall River,MA,2720
C00000249,61,955 6th Street,,Fall River,MA,2721
C00000250,8,61 N. Brickyard St.,,Washington,DC,44241
C00000251,54,223 Devonshire Lane,,Houston,TX,47190
C00000252,37,9732 West Dr.,,Jackson,MS,42914
C00000253,48,9 Depot St.,,Worcester,MA,1602
C00000254,28,11 Fremont St.,,Anchorage,AK,42744
C00000255,27,7706 South Grove Court,,San Antonio,TX,41596
C00000256,73,825 Oakwood St.,,New Britain,CT,46627
C00000257,22,7378 Sunset Road,,Virginia Beach,VA,45514
C00000258,22,8454 Pearl St.,,Virginia Beach,VA,48576
C00000259,31,451 Deerfield Dr.,,Des Moines,IA,47192
C00000260,31,36 W. Wentworth Drive,,Des Moines,IA,45891
C00000261,38,26 Jones Drive,,Bridgeport,CT,40468
C00000262,77,77 Amherst St.,,Syracuse,NY,13204
C00000263,68,80 Sugar Ave.,,Cranston,RI,40697
C00000264,28,7992 Gonzales Lane,,Anchorage,AK,43459
C00000265,72,7236 East Richardson Lane,,Philadelphia,PA,48562
C00000266,19,9290 North Amherst Avenue,,Atlanta,GA,42894
C00000267,37,19 Old Rockland Road,,Jackson,MS,43782
C00000268,39,9800 E. George Ave.,,Charleston,SC,43442
C00000269,15,55 Sunset Street,,Louisville,KY,44525
C00000270,46,76 N. Saxton Ave.,,San Diego,CA,46234
C00000271,46,8116 Studebaker Street,,San Diego,CA,44970
C00000272,70,799 N. Rosewood St.,,Los Angeles,CA,46115
C00000273,27,42 S. Littleton Lane,,San Antonio,TX,49695
C00000274,17,8918 SW. Dunbar Street,,Milwaukee,WI,44562
C00000275,1,8942 Belmont Lane,,New York City,NY,10023
C00000276,1,679 Lakewood Rd.,,New York City,NY,10167
C00000277,1,7127 Selby St.,,New York City,NY,10095
C00000278,22,229 San Pablo Street,Unit 5,Virginia Beach,VA,49793
C00000279,22,2 Bowman Lane,,Virginia Beach,VA,47351
C00000280,45,8487 North Cemetery St.,,Cheyenne,WY,46771
C00000282,73,171 Roehampton St.,,New Britain,CT,46032
C00000283,73,9510 East Smith Drive,,New Britain,CT,49784
C00000284,10,8671 Applegate Ave.,,Detroit,MI,43641
C00000285,72,32 Sherwood St.,,Philadelphia,PA,42083
C00000286,72,200 Birchpond St.,,Philadelphia,PA,46280
C00000287,50,33 53rd St.,,Buffalo,NY,14267
C00000288,6,579 Holly Ave.,,Seattle,WA,44288
C00000289,54,34 Country Dr.,,Houston,TX,49254
C00000290,72,8708 East Whitemarsh St.,,Philadelphia,PA,40324
C00000291,72,9423 Indian Summer Drive,,Philadelphia,PA,46940
C00000292,15,8094 Williams Ave.,,Louisville,KY,49632
C00000293,69,81 Linden St.,,Lawrence,MA,1842
C00000294,58,213 N. Liberty Lane,Apt. 1B,Brockton,MA,2302
C00000295,12,233 Sunset Rd.,,Portland,OR,41755
C00000296,65,22 Grove Dr.,,Newton,MA,2459
C00000297,65,88 Windsor St.,,Newton,MA,2460
C00000298,65,547 Church Drive,,Newton,MA,2461
C00000300,1,250 Cactus St.,,New York City,NY,10031
C00000301,28,46 Nut Swamp St.,,Anchorage,AK,40466
C00000302,56,835 Washington Road,,Cambridge,MA,2138
C00000303,74,9460 Marconi Lane,,Chicago,IL,46304
C00000304,19,42 W. Indian Spring St.,,Atlanta,GA,46716
C00000305,46,168 Bowman Road,,San Diego,CA,41405
C00000308,68,9276 Snake Hill St.,,Cranston,RI,40710
C00000309,37,3 Sycamore St.,,Jackson,MS,49232
C00000310,11,156 Snake Hill St.,,Nashville,TN,49429
C00000311,64,84 4th Street,,Phoenix,AZ,47212
C00000312,2,8452 S. Brewery St.,,Jacksonville,FL,40078
C00000313,24,191 Wall Lane,,New Orleans,LA,47149
C00000314,24,863 Hillcrest Street,,New Orleans,LA,46275
C00000315,54,660 Bohemia Rd.,,Houston,TX,48526
C00000316,75,9419 Vernon Ave.,,Rochester,NY,14603
C00000317,64,239 N. Helen St.,,Phoenix,AZ,49469
C00000318,15,94 Edgewater St.,,Louisville,KY,41921
C00000319,19,9576 Wakehurst Drive,,Atlanta,GA,41353
C00000320,19,3 New Dr.,,Atlanta,GA,47036
C00000321,47,1 Manchester Ave.,,Charleston,WV,49755
C00000322,38,80 Grant Road,,Bridgeport,CT,48482
C00000323,38,661 Orchard Rd.,,Bridgeport,CT,44587
C00000324,3,279 Redwood St.,,Columbus,OH,41348
C00000325,3,87 Stonybrook St.,Unit 75,Columbus,OH,48658
C00000326,27,9470 East Cardinal Dr.,,San Antonio,TX,49529
C00000327,27,9416 Oak Valley St.,,San Antonio,TX,43739
C00000328,1,759 Young Ave.,,New York City,NY,10281
C00000329,11,6 North Bald Hill Ave.,,Nashville,TN,42658
C00000330,65,9751 Marsh Dr.,,Newton,MA,2462
C00000331,1,7745 Roosevelt Court,,New York City,NY,10170
C00000332,29,8101 Goldfield St.,,Newark,NJ,42051
C00000333,38,863 Glenwood St.,,Bridgeport,CT,46821
C00000334,32,3 Charles St.,,Birmingham,AL,47801
C00000335,73,8121 Tanglewood Dr.,,New Britain,CT,47186
C00000336,39,83 E. Academy Road,,Charleston,SC,42433
C00000337,39,953 Van Dyke Street,,Charleston,SC,49169
C00000338,8,83 Griffin Street,,Washington,DC,41620
C00000339,1,79 Ocean St.,,New York City,NY,10003
C00000340,1,390 Deerfield St.,,New York City,NY,10113
C00000341,69,620 Albany St.,,Lawrence,MA,1843
C00000342,69,8534 Lyme Rd.,,Lawrence,MA,1840
C00000343,44,498 W. Madison Avenue,,Portland,ME,48427
C00000344,54,879 East Blue Spring Dr.,,Houston,TX,46615
C00000345,17,312 Belmont St.,,Milwaukee,WI,49704
C00000346,17,6 Railroad Road,,Milwaukee,WI,42989
C00000347,71,44 Tailwater Rd.,,Somerville,MA,2143
C00000348,71,433 Lower River Street,,Somerville,MA,2144
C00000349,39,276 Prospect Street,,Charleston,SC,48059
C00000350,25,9483 S. Lake View Rd.,,Wichita,KS,40153
C00000351,1,354 Redwood Lane,,New York City,NY,10113
C00000352,56,7 Fieldstone Lane,,Cambridge,MA,2139
C00000353,7,946 Garfield Road,,Denver,CO,47184
C00000354,49,7868 Center Ave.,,Burlington,VT,46886
C00000355,49,7092 Glen Eagles Street,,Burlington,VT,38669
C00000356,1,164 Clinton Street,,New York City,NY,10006
C00000357,1,796 South Oak Rd.,,New York City,NY,10172
C00000358,7,182 Myrtle Ave.,,Denver,CO,41512
C00000359,66,64 Nicolls Ave.,,Warwick,RI,49265
C00000360,49,9 SE. Market Court,,Burlington,VT,38978
C00000361,74,9 Brewery St.,,Chicago,IL,48249
C00000362,35,650 University Circle,,Sioux Falls,SD,44309
C00000363,35,501 Orange Avenue,,Sioux Falls,SD,48264
C00000364,54,577 Trusel Ave.,,Houston,TX,46618
C00000365,1,8068 Andover St.,,New York City,NY,10025
C00000366,1,9082 Goldfield Dr.,,New York City,NY,10162
C00000367,60,8626 Lilac Drive,,Lynn,MA,1905
C00000368,60,9563 Union Road,,Lynn,MA,1910
C00000369,7,9726 Wakehurst Rd.,,Denver,CO,49458
C00000370,71,13 Plymouth St.,,Somerville,MA,2145
C00000371,4,8 Kirkland Street,,Charlotte,NC,45863
C00000372,34,315 Baker Road,,Little Rock,AR,42651
C00000373,16,7827 Monroe Street,,Baltimore,MD,42455
C00000374,26,8968 Thompson Rd.,,Honolulu,HI,46165
C00000375,61,57 S. Cypress Rd.,,Fall River,MA,2722
C00000376,14,266 Branch Dr.,,Las Vegas,NV,42541
C00000378,50,7 Princess Street,,Buffalo,NY,14215
C00000379,50,5 Princess Street,,Buffalo,NY,14220
C00000380,41,97 Walt Whitman Street,,Manchester,NH,41293
C00000381,73,8253 Roberts Drive,,New Britain,CT,40934
C00000382,73,52 North Meadowbrook St.,,New Britain,CT,40965
C00000383,15,2 Van Dyke St.,,Louisville,KY,48259
C00000384,15,7402 Marsh Rd.,,Louisville,KY,49286
C00000385,45,7008 Gregory Lane,,Cheyenne,WY,43320
C00000386,62,8953 Olive Lane,,Nashua,NH,43222
C00000387,76,37 Church St.,,Yonkers,NY,10708
C00000388,36,7731 West Charles Street,,Providence,RI,40756
C00000389,47,7080 West Street,,Charleston,WV,47739
C00000390,47,783 Lake Road,,Charleston,WV,40166
C00000391,47,49 West Rocky River St.,,Charleston,WV,41236
C00000392,74,179 Birchwood Street,,Chicago,IL,46469
C00000393,74,9010 Sunset Street,,Chicago,IL,48628
C00000394,52,770 Deerfield Street,,New Haven,CT,42768
C00000395,52,2 Garden Dr.,,New Haven,CT,48062
C00000396,1,18 Hamilton Lane,,New York City,NY,10116
C00000397,75,69 Newport St.,,Rochester,NY,14604
C00000398,61,7245 East Constitution St.,,Fall River,MA,2723
C00000399,45,9257 Prairie Drive,,Cheyenne,WY,46326
C00000400,1,769 W. Brookside Dr.,,New York City,NY,10009
C00000401,1,8083 Circle Ave.,,New York City,NY,10119
C00000402,3,7782 Atlantic Avenue,,Columbus,OH,45425
C00000403,42,514 Glenholme Street,,Billings,MT,41988
C00000404,42,7 Bear Hill Drive,,Billings,MT,40291
C00000405,65,54 NE. Rocky River Drive,,Newton,MA,2464
C00000406,36,87 Santa Clara Lane,,Providence,RI,49819
C00000407,73,7582 W. Sherman Street,,New Britain,CT,48398
C00000408,35,9650 SE. Green Lake St.,,Sioux Falls,SD,49810
C00000409,74,178 N. Newport St.,,Chicago,IL,42137
C00000410,62,268 University Road,,Nashua,NH,49703
C00000411,17,9773 Euclid Drive,,Milwaukee,WI,42467
C00000412,17,891 Paris Hill St.,Unit 2,Milwaukee,WI,43944
C00000413,49,7690 S. Summer Ave.,,Burlington,VT,33665
C00000414,46,8558 Eagle Lane,Unit 4,San Diego,CA,49741
C00000415,46,175 Alderwood Road,,San Diego,CA,49268
C00000416,1,9846 Beacon Dr.,,New York City,NY,10081
C00000417,1,592 Redwood St.,,New York City,NY,10036
C00000418,28,363 Bridgeton Rd.,,Anchorage,AK,47594
C00000419,64,794 Peninsula Court,,Phoenix,AZ,45359
C00000420,18,419 N. Clay St.,,Albuquerque,NM,49635
C00000421,54,8806 Lees Creek Street,,Houston,TX,42864
C00000422,69,286 Dunbar Street,,Lawrence,MA,1841
C00000423,37,9365 Surrey St.,,Jackson,MS,42015
C00000424,1,82 Bank Rd.,,New York City,NY,10024
C00000425,25,7891 Gonzales St.,,Wichita,KS,42325
C00000426,72,813 W. Carpenter Street,,Philadelphia,PA,49991
C00000427,72,85 Shady St.,,Philadelphia,PA,45848
C00000428,47,8176 W. Bald Hill Rd.,,Charleston,WV,49169
C00000429,50,7992 Southampton Lane,,Buffalo,NY,14208
C00000430,39,728 S. Rockwell Street,,Charleston,SC,45514
C00000431,24,572 Griffin Ave.,Unit 3,New Orleans,LA,40337
C00000432,59,849 North Green Lake St.,,Quincy,MA,2171
C00000433,62,6 South Hamilton Court,,Nashua,NH,48754
C00000434,70,947 Acacia St.,,Los Angeles,CA,47055
C00000435,20,39 Coffee Street,,Kansas City,MO,45296
C00000436,2,7466 Holly St.,,Jacksonville,FL,46577
C00000437,11,468 Cypress Street,,Nashville,TN,49481
C00000438,32,785 Fremont Street,,Birmingham,AL,49838
C00000439,51,8713 Mulberry St.,,Springfield,MA,1105
C00000440,15,17 Ocean St.,,Louisville,KY,44548
C00000441,1,762 West Campfire Road,,New York City,NY,10039
C00000442,1,7751 West Belmont Dr.,,New York City,NY,10172
C00000443,1,7 Peg Shop Dr.,,New York City,NY,10154
C00000444,74,75 Ryan Ave.,,Chicago,IL,48826
C00000445,1,9925 Prospect Ave.,,New York City,NY,10167
C00000446,1,876 Fordham Street,,New York City,NY,10037
C00000447,23,718 Applegate Avenue,,Minneapolis,MN,49127
C00000448,77,81 Mill Dr.,,Syracuse,NY,13205
C00000450,25,8199 Green Hill Street,,Wichita,KS,46812
C00000451,12,8641 Tailwater St.,,Portland,OR,47868
C00000452,55,173 Sage Dr.,,Lowell,MA,1853
C00000453,67,16 Marsh St.,,Danbury,CT,40246
C00000454,38,8580 Somerset Ave.,,Bridgeport,CT,43601
C00000455,68,285 Blackburn Ave.,,Cranston,RI,40377
C00000456,25,9318 Race Ave.,,Wichita,KS,40440
C00000457,70,743 North York Street,Unit 82,Los Angeles,CA,49810
C00000458,68,33 Harrison St.,,Cranston,RI,47473
C00000459,32,8714 West St.,,Birmingham,AL,44096
C00000461,68,9102 Lafayette Rd.,,Cranston,RI,43998
C00000462,14,73 Henry Smith Ave.,,Las Vegas,NV,49162
C00000463,38,48 Hill Field Court,,Bridgeport,CT,44710
C00000464,24,906 SW. Fawn Street,,New Orleans,LA,45056
C00000465,5,511 Academy Road,,Indianapolis,IN,41039
C00000466,1,765 Thomas Street,,New York City,NY,10249
C00000467,1,46 Shub Farm Road,,New York City,NY,10106
C00000468,72,477 St Margarets Ave.,,Philadelphia,PA,46651
C00000469,59,34 Mulberry Dr.,,Quincy,MA,2269
C00000470,30,16 E. Acacia Drive,,Boise,ID,49085
C00000471,44,8443 Tallwood Dr.,,Portland,ME,41068
C00000472,36,8359 Thomas Ave.,,Providence,RI,47179
C00000473,1,71 Cooper St.,,New York City,NY,10002
C00000474,46,57 Briarwood St.,,San Diego,CA,46570
C00000476,1,959 South St Margarets Street,,New York City,NY,10008
C00000477,1,7316 School St.,,New York City,NY,10019
C00000478,21,7288 E. College Ave.,,Omaha,NE,49054
C00000479,11,6 W. Poplar Street,,Nashville,TN,43792
C00000480,11,9821 North Cherry Court,,Nashville,TN,44657
C00000481,69,710 Mountainview Lane,Unit 83,Lawrence,MA,1842
C00000482,69,8759 Augusta Court,,Lawrence,MA,1843
C00000483,1,6 Pine Rd.,,New York City,NY,10081
